# Time-averaged data for fix out
# TimeStep Number-of-rows
# Row c_myrdfs[1] c_myrdfs[2] c_myrdfs[3] c_myrdfs[4] c_myrdfs[5] c_myrdfs[6] c_myrdfs[7]
100000 250
1 0.024 0 0 0 0 0 0
2 0.072 0 0 0 0 0 0
3 0.12 0 0 0 0 0 0
4 0.168 0 0 0 0 0 0
5 0.216 0 0 0 0 0 0
6 0.264 0 0 0 0 0 0
7 0.312 0 0 0 0 0 0
8 0.36 0 0 0 0 0 0
9 0.408 0 0 0 0 0 0
10 0.456 0 0 0 0 0 0
11 0.504 0 0 0 0 0 0
12 0.552 0 0 0 0 0 0
13 0.6 0 0 0 0 0 0
14 0.648 0 0 0 0 0 0
15 0.696 0 0 0 0 0 0
16 0.744 0 0 0 0 0 0
17 0.792 0 0 0 0 0 0
18 0.84 0 0 0 0 0 0
19 0.888 0 0 0 0 0 0
20 0.936 0 0 0 0 0 0
21 0.984 0 0 0 0 0 0
22 1.032 0 0 0 0 0 0
23 1.08 0 0 0 0 0 0
24 1.128 0 0 0 0 0 0
25 1.176 0 0 0 0 0 0
26 1.224 0 0 0 0 0 0
27 1.272 0 0 0 0 0 0
28 1.32 0 0 0 0 0 0
29 1.368 0 0 0 0 0 0
30 1.416 0 0 0 0 0.000160935 1.30208e-05
31 1.464 0 0 0.000301405 2.60417e-05 0.006775 0.000598958
32 1.512 0 0 0.00134223 0.00014974 0.0484847 0.00507161
33 1.56 0 0 0.00504362 0.000644531 0.215205 0.0262044
34 1.608 0 0 0.011118 0.00180339 0.558291 0.0844531
35 1.656 0 0 0.0260306 0.00468099 1.0132 0.196569
36 1.704 0 0 0.0480572 0.010306 1.39385 0.359876
37 1.752 0 0 0.0917621 0.0216602 1.5772 0.555221
38 1.8 0 0 0.144009 0.0404688 1.56213 0.759447
39 1.848 0 0 0.232958 0.0725391 1.39501 0.95168
40 1.896 0 0 0.325904 0.119766 1.16823 1.12113
41 1.944 0 0 0.451681 0.188574 0.940691 1.26458
