# Time-averaged data for fix out
# TimeStep Number-of-rows
# Row c_myrdfs[1] c_myrdfs[2] c_myrdfs[3] c_myrdfs[4] c_myrdfs[5]
100000 250
1 0.024 0 0 0 0
2 0.072 0 0 0 0
3 0.12 0 0 0 0
4 0.168 0 0 0 0
5 0.216 0 0 0 0
6 0.264 0 0 0 0
7 0.312 0 0 0 0
8 0.36 0 0 0 0
9 0.408 0 0 0 0
10 0.456 0 0 0 0
11 0.504 0 0 0 0
12 0.552 0 0 0 0
13 0.6 0 0 0 0
14 0.648 0 0 0 0
15 0.696 0 0 0 0
16 0.744 0 0 0 0
17 0.792 0 0 0 0
18 0.84 0 0 0 0
19 0.888 0 0 0 0
20 0.936 0 0 0 0
21 0.984 0 0 0 0
22 1.032 0 0 0 0
23 1.08 0 0 0 0
24 1.128 0 0 0 0
25 1.176 0 0 0 0
26 1.224 0 0 0 0
27 1.272 0 0 0 0
28 1.32 0 0 0 0
29 1.368 0 0 0 0
30 1.416 0 0 0 0
31 1.464 0 0 0 0
32 1.512 0 0 0 0
33 1.56 0 0 0 0
34 1.608 0 0 0 0
35 1.656 0 0 0 0
36 1.704 0 0 0 0
37 1.752 0 0 0 0
38 1.8 0 0 0 0
39 1.848 0 0 0 0
40 1.896 0 0 0 0
41 1.944 0 0 0 0
42 1.992 0 0 0 0
43 2.04 0 0 0 0
44 2.088 0 0 0.0064678 0.000555556
45 2.136 0 0 0.0123608 0.00166667
46 2.184 0 0 0.472938 0.0461111
47 2.232 0 0 1.78862 0.221667
48 2.28 0 0 4.69752 0.702778
49 2.328 0 0 7.4195 1.495
50 2.376 0 0 8.30156 2.41833
51 2.424 0 0 7.55854 3.29333
52 2.472 0 0 5.96195 4.01111
53 2.52 0 0 4.08073 4.52167
54 2.568 0 0 2.83496 4.89
55 2.616 0 0 1.83774 5.13778
56 2.664 0 0 1.24366 5.31167
57 2.712 0 0 0.843468 5.43389
58 2.76 0 0 0.521947 5.51222
59 2.808 0.00357628 0.000555556 0.414849 5.57667
60 2.856 0.110627 0.0183333 0.283481 5.62222
61 2.904 0.431343 0.09 0.237406 5.66167
62 2.952 1.17463 0.291667 0.200625 5.69611
63 3 2.31855 0.702778 0.134727 5.72
64 3.048 3.14758 1.27889 0.130517 5.74389
65 3.096 4.00979 2.03611 0.138269 5.77
66 3.144 3.93964 2.80333 0.131226 5.79556
